ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,200.92,198.63,158.29,364.02,285.65,86.78,193.76,199.76,126.84,99.2,60.77,187.43,49.17,126.56,72.74,5.17,203.8,102.7,225.8,123.86,93.21,227.29
2,250.76,259.63,220.7,390.47,322.88,119.02,225.94,264.9,177.1,132.74,89.86,221.24,77.48,162.7,96.45,26.92,251.79,132.52,266.83,159.4,114.12,290.12
3,244.1,222.23,198.7,352.11,296.59,102.85,187.65,222.97,155.83,118.56,79.39,202.93,52.79,140.41,81.6,16.12,212.65,119.58,231.48,136.04,91.52,259.01
4,237.25,204.07,169.45,313.19,266.67,79.64,160.83,171.86,119.31,102.29,76.63,194.4,63.98,133.53,38.56,22.09,154.81,82.51,205.1,94.58,71.78,222.87
5,206.84,211.07,184.04,294.17,265.25,97.64,182.39,226.56,153.16,110.43,80.86,178.17,72.69,139.47,81.78,24.92,206.74,92.52,214.5,141.45,98.23,238.34
6,232.45,223.42,197.69,320.99,274.41,102.74,174.71,225.91,146.93,108.42,78.11,195.08,64.18,148.74,77.33,22.63,214.4,107.59,221.94,138.08,98.71,250.39
7,245.09,229.35,189.4,322.23,266.8,99.98,149.59,210.53,134.99,113.18,79.06,194.07,69.5,139.47,68.09,15.05,201.21,101.42,214.95,122.53,78.37,258.17
8,260.06,249.12,220.5,349.42,290.13,121.17,187.09,227.63,162.35,136.51,98.49,223.22,92.97,151.5,75.72,29.01,227.84,106.45,243.3,129.39,97.6,275.5
9,260.63,225.24,187.18,333.44,278.98,113.04,156.35,194.91,151.69,117.03,96.27,202,85.03,141.94,63.78,17.24,192.51,95.49,224.77,127.33,80.74,264.75
10,299.19,251.32,214.57,358.28,310.25,117.32,186.41,217.46,177.96,132.69,110.73,226.6,94.39,165.88,66.8,43.09,203.08,106.84,263.06,143.31,95.51,275.15
11,322.39,263.01,222.77,375.29,317.79,122.24,215.32,243.45,188.88,141.91,118.32,248.15,113.92,181.99,80.77,61.44,218.72,107.2,292.06,145.13,114.66,286.29
12,201.11,177.98,148.87,262.52,227.32,66.36,133.7,151.96,101.67,84.14,57.95,174.95,50.06,106.2,32.23,19.38,122.71,67.62,188.36,70.22,54.39,177.85
