ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,247.12,293.22,235.88,464.39,386.36,150.16,286.31,281.74,212.3,150.33,135.82,234.34,76.39,198.03,151,53.24,264.3,136.63
2,308.79,360.52,316.35,498.89,449.26,182.7,342.89,348.65,284.06,191.91,186.56,257.06,109.97,257.22,193.22,84.84,309.15,168.47
3,290.74,326.78,276.36,465.12,392.39,147.1,290.69,300.08,236.11,159.42,156.6,229.98,92.85,213.42,157.01,61.56,270.9,144.1
4,344.9,319.6,273.27,454.12,383.47,166.65,256.78,278.79,235.53,158.75,180.68,253.87,152.9,227.93,126.67,87.94,257.4,173.56
5,251.61,288.03,246.63,369.65,353.1,142.6,272.37,302.67,236.02,154.53,166.36,210.92,102.2,219.45,154.27,77.82,243.49,122.72
6,287.61,324.25,266.65,429.83,388.27,151.94,277.6,294.41,235.47,153.9,168.07,216.83,96.67,204.07,143.27,61.35,257.81,138.56
7,297.86,313.99,258.18,438.52,389.13,132.12,263.46,270.82,223.66,148.06,161.99,214.14,93.25,190.01,122.55,56.22,237.34,135.22
8,337.51,341.34,296.72,457.23,425.09,153.29,288.46,303.3,251.98,172.99,180.21,256.47,129.52,223.94,128.11,70.29,262.54,152.81
9,330.63,327.48,287.33,447.03,398.63,151.95,275.32,291.55,237.36,151.9,177.82,242.25,125.8,203.64,135.39,57.68,251.93,153.44
10,373.44,351.22,318.07,481.16,419.15,186.05,293.58,322.85,269.28,173,210.66,269.4,158.14,254.7,151.49,93.37,288.96,183.53
11,402.17,363.99,342.98,498.16,435.39,190.77,317.36,358.3,291.41,197.99,248.87,292.2,193.97,280.83,166.39,115.52,310.72,183.04
12,316.16,294.48,253.2,405.99,343.84,157.71,236.08,253.93,203.78,150.77,166.63,237.71,133.63,209.98,112.9,82.12,240,153.13
13,379.43,361.02,299.26,465.44,420.85,206.93,280.01,303.53,260.37,184.44,210.39,284.34,190.47,262.52,123.27,109.46,305.65,168.9
14,215.55,266.78,241.42,345.97,297.19,117.49,221.03,268.53,204.7,138.41,134.99,210.52,78.85,204.3,151.32,85.75,244.95,131.63
15,243.91,287.78,239.08,366.57,325.06,126.92,233.84,275.82,202.26,149.71,135.85,207.6,80.15,195.32,140.53,67.46,245.84,134.19
16,272.66,314.05,247.54,409.88,365.02,138.76,235.91,274.11,208.92,138.76,148.64,211.73,85.91,185.62,116.49,61.15,234.06,128.18
17,226.3,242.44,204.24,335.52,302.33,110.49,189.31,214.93,174.16,111.29,124.5,180.12,76.53,149.4,97.63,50.09,202.5,116.38
18,320.27,319.08,277.63,437.11,396.93,143.06,252.83,266,216.33,159.79,173.02,232.39,107.54,203.08,114.75,57.05,228.69,153.18
19,317.73,303.18,267.54,422,380.92,149.03,241.45,265.33,207.78,140.93,159.99,232.86,110.97,187.97,112.16,31.79,241.24,148.49
20,366,372.41,299.03,472.2,422.28,172.38,279.87,311.32,267.74,168.81,194.91,259.97,149.02,241.07,153.66,77.98,281.9,198.07
21,313.99,311.39,264.98,413.57,361.28,153.6,237.39,272.28,228.84,155.53,178.8,239.05,142.29,222.02,131.1,72.59,249.18,154.85
22,365.05,355.39,309.43,464.59,420.98,193.36,278.59,313.17,258.9,186.54,205.52,287.31,179.29,265.66,154.54,114.27,292.17,183.12
23,438.31,456.74,382.18,540.87,513.46,249.45,345.81,381.07,314.54,224.77,247.48,336.06,250.67,341.36,212.63,159.43,354.43,218.65
24,431.32,455.99,370.11,537.75,506.1,247.72,339.07,362.66,311.22,222.28,259.35,335.77,242.64,322.24,203.73,148.32,336.82,207.04
25,270.82,328.12,314.78,414.54,353.4,147.09,266.33,338.08,251.95,158.9,182.73,245,110.15,273.53,206.39,131.58,318.51,173.7
26,254.11,299.3,267.35,375.07,336.82,146.75,240.48,285.69,232.43,136.18,168.01,224.36,93.07,214.24,169.69,93.91,270.46,126.02
27,312.67,351.26,298.98,421.45,384.78,156.14,272,340.71,260.59,195.73,170.16,237.98,102.63,225.35,160.36,84.95,263.15,151.36
28,298.85,332.03,278.55,414.32,385.25,157.37,249.39,299.42,224.62,159.74,157.74,225.1,99.68,199.74,132.33,77.37,246.9,145.92
29,278.64,299.02,244.13,390.53,366.56,133.9,226.58,249.99,193.27,140.98,138.58,204.93,90.45,191.41,116.01,58.81,215.33,145.46
30,313.23,318.94,267.23,405.97,382.22,156.75,256.97,265.02,219.49,163.12,169.51,216.87,113.86,208.43,129.57,73.88,233.65,154.46
31,237.36,233.42,193.11,320.39,281.48,118.78,177.6,198.99,144.62,111.03,106.56,161.25,81.18,149.93,77.12,36.25,176.29,109.75
32,378.58,397.37,322.23,466.95,456.2,195.4,292.26,338.4,281.95,187.61,225.79,266.96,169.1,263.06,156.37,88.28,287.87,201.89
33,441.84,456.21,382.08,525.01,521.22,238.79,351.04,413.47,356.44,238.35,301.61,311.93,239.54,330.41,215.04,132.26,356.66,240.04
34,402.34,412.26,347.89,488.75,457.28,221.62,307.17,346.64,299.83,206.45,249.05,311.75,215.78,302.15,201.72,130.91,332.9,208.01
35,476.53,488.24,427.87,572.09,557.1,269.77,370.06,406.63,375.22,275.74,322.88,377.12,278.17,378.65,248.95,187.72,367.16,255.84
36,466.4,492.88,412.81,542.85,528.12,262.29,352.83,399.36,360.81,259.66,313.91,373.51,263.81,357.96,230.08,185.94,352.13,245.69
37,420.59,437.26,359.35,501.97,472.6,217.54,323.25,346.39,287.94,205.87,259.19,325.14,224.48,293.47,189.49,146.11,299.55,192.86
38,495.61,539.73,423.16,604.15,559.24,251.49,353.3,420.86,331.68,193.78,318.58,355.77,250.68,347.74,202.42,181.13,372.49,209.69
39,491.03,540.8,422.93,579.71,503.49,213.45,323.45,365.11,263,156.82,265.17,289.6,204.11,294.58,154.41,146.5,317.53,192.16
40,157.43,168.89,152.64,237.18,200.93,51.4,145.96,180.84,124.84,87.8,77,137.52,50.2,142.83,98.63,47.55,182.11,115.81
41,264.53,289.76,253.18,373.89,337.5,105.97,226.4,288.18,212.19,122.6,154.14,208.83,97.23,231.77,171.65,96.01,269.28,160.76
42,261.53,286.44,253.3,360.66,335.27,128.56,222.1,284.31,210.87,117.27,158.41,205.48,101.4,206.54,172.12,99.99,261.71,145.27
43,208.39,235.29,195,290.1,266.76,106.31,177.83,220.88,169.15,101.24,113.68,174.77,74.02,156.72,119.35,54.68,197.37,115.99
44,305.11,344.51,278.04,407.73,383.32,148.49,257.27,306.24,231.22,159.88,162.65,224.69,103.27,219.6,153.33,75.47,256.75,155.09
45,279.13,306.84,231.98,371.65,358.39,143.9,237.9,272.97,212.05,142.3,139.07,207.91,93.05,208.43,141.33,70.66,231.58,151.47
46,250.66,266.32,205.98,333.46,321.92,122.68,189.02,213.11,167.52,127.39,115.07,186.54,71.49,170.37,104.72,41.73,197.07,124.15
47,302.9,318.53,261.12,389.6,370.47,151.17,246.09,248.67,205.36,153.12,152.29,226.69,95.9,209.97,133.71,71.96,238.77,158.58
48,268.33,271.56,223.84,350.69,326.76,126.7,205.54,236.03,185.7,127.63,130.79,203.11,94.35,170.36,112.46,61.9,220.96,135.64
49,341.85,351.76,282.87,423.9,391.69,168.21,247.69,289.89,236.2,160.14,191.33,239.2,148.26,229.62,151.29,73.71,255.87,173.21
50,388,391.29,326.77,470.66,456.84,207.61,296.71,348.35,297.11,199.59,247.26,285.04,197.53,273.83,193.42,105.68,294.81,214.51
51,181.55,191.55,171.7,230.34,214.57,108.1,144.11,170.67,148,94.61,128.79,150.28,99.82,140.97,96.84,57.68,154.38,104.22
52,484.77,500.05,425.71,580.21,548.67,270.24,373.04,422.42,384.01,276.05,318.73,378.6,276.19,374.42,257.95,199.49,356.85,265.46
53,448.9,489.25,402.67,529.41,513.73,246.32,355.59,396.98,345.75,265.22,299.85,365,251.25,344.7,229.31,181.56,337.75,247.81
54,375.15,400.13,338.62,450,424.61,188.27,285.44,321.84,271.24,184.68,253.3,290.72,205.94,273.49,185.93,141.89,273.94,179.99
55,492.87,536.93,430.19,601.32,544.87,240.15,344.7,388.55,308.51,182.99,287.41,337.08,225.28,322.36,206.99,167.57,341.44,211.99
56,495.32,557.79,452.43,581.37,493.61,199.92,318.16,338.6,259.17,155.82,252.82,273.56,197.58,291.99,172.92,145.64,301.03,192
57,482.68,531.05,438.2,545.95,477.69,184.41,297.93,290.61,233.66,135.52,202.32,234.95,191.4,252.64,124.14,78.16,266.45,164.31
58,141.94,137.56,157.94,239.18,197.18,28.45,128.91,151.85,94.65,59.13,58.09,115.19,55.28,140.73,81.94,17.63,170.8,112.92
59,119.7,112.03,112.67,164.29,149.89,38.8,97.21,123.39,92.61,53.58,58.48,102.16,51.09,103.56,69.8,22.96,132.96,77.43
60,166.92,174.74,160.51,219.04,216.84,57.2,138.56,176.61,133.86,64.89,85.12,143.5,65.39,138.69,104.05,43.95,167.77,98.17
61,176.11,180.89,165.19,223.76,227.43,63.73,142.36,179.53,132.71,67.11,94.48,141.81,66.05,134,103.7,50.37,165.11,100.73
62,125.93,131.61,124.87,172.11,163.77,57.29,112.37,135.32,101.6,59.39,69.99,115.02,53.85,99.08,68.95,36.43,125.77,86.24
63,172.88,191.8,153.18,227.24,213.79,83.67,147.48,178.03,137.27,80.14,87.61,140.48,60.59,120.74,89.11,36.68,157.94,101.38
64,101.19,115.34,85,140.61,143.29,52.66,91.58,107.01,81.11,52.71,53.82,79.35,40.26,78.27,49.97,19.03,99.35,58.33
65,25.61,27.19,22.29,32.64,33.25,13.36,23.63,26.95,21.85,11.5,15.81,18.7,12.03,18.09,13.31,9.75,24.21,15.14
66,137.66,147.96,115.77,186.89,184.53,63.92,107.29,130.92,84.31,78.55,53.54,119.33,31.05,93.78,56.81,30.62,109.04,84.87
67,74.21,84.09,62.35,98.19,97.31,36.27,56.33,66.61,50.38,35.04,39.7,58.83,29.72,44.49,29.45,13.33,60.29,41.56
68,39.57,42.61,36.35,48.65,44.23,24.75,30.91,39.04,32.19,18.24,29.23,28.45,19.91,29.55,21.72,12.7,35.98,23.47
69,13.12,16.61,12.71,16.89,16.15,9.03,10.21,14.11,15.37,4.42,15.06,11.01,10.54,10.03,5.36,0.95,13.44,5.33
70,96.69,98.08,92.63,122.2,112.05,58.93,77.39,91.93,79.01,51.53,67.23,76.81,51.26,78.05,59.46,34.18,82.43,60.17
71,349.53,363.36,333.08,436.72,402.48,209.87,266.16,329.41,279.95,184.29,267.16,281.89,201.31,264.43,205.51,122.36,286.4,199.98
72,450.97,468.63,436.46,562.68,527.39,261.39,347.82,421.48,342.97,254.92,319.39,362.7,257.81,352.03,269.54,176.41,350.81,262.38
73,380.4,402.3,359.8,481.48,446.47,200.17,276.9,352.48,278.39,180.17,270.05,279.8,195.21,266.5,200.91,137.33,289.9,195.78
74,462.15,503.02,434.68,573.93,523.5,228.16,308.01,410.61,299.49,155.86,314.14,309.42,201.18,277.47,210.78,155.25,316.99,226.76
75,466.86,519.92,435.12,561.38,493.89,198.15,296.44,343.69,263.98,158.82,260.89,261.15,195.37,275.14,178.28,136.06,284.02,201.01
76,489.82,560.07,467.39,570.73,521.21,196.9,301.44,312.67,248.34,155.19,230.01,250.47,200.3,279.11,151.8,99.79,284.42,185.08
77,501,561.34,473.37,590.98,548.96,225.69,314.59,311.62,253.84,154.89,234.7,238.58,194.24,270.43,136.26,82.39,279.23,186.86
78,111.09,98.53,113.26,149.46,133.49,24.53,90.77,130.28,80.63,38.62,54.49,88.48,64.11,102.48,54.5,27.17,129.12,84.55
79,64.36,62.5,62.23,79.58,80.64,14.91,45.96,68.26,43.33,22.92,34.43,52.7,28.44,49.28,31.85,10.23,68.7,36.44
80,117.01,119.07,117.33,142.17,149.74,41.65,98.03,131.56,101.92,58.98,66.01,102.82,62.73,104.38,75.48,53.13,129.22,88.61
81,25.5,21.64,19.89,24.57,37.14,8.19,19.35,20.43,20.8,6.53,13.33,17.27,11.24,15.65,10.69,9.38,26.22,10.39
82,15.75,17.59,15.25,19.3,23.56,7.67,14.94,18.6,16.09,6.36,11.57,14.18,9.88,13.14,8.31,8.68,16.77,10.61
83,4.3,4.75,5,4.02,8.31,3.54,2.56,2.48,3.16,0.73,3.81,2.7,4.34,1.79,0.99,0.02,3.42,1.94
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,49.56,58.71,40.18,50.57,60.24,28.44,39.93,47.79,40.91,24.26,32.56,36.72,25.28,32.6,22.43,15.89,39.36,27.03
87,14.93,16.63,11.76,23.01,20.51,6.75,10.56,12.47,9.94,6.28,8.17,12.35,6.03,10.53,6.21,1.9,11.91,8.12
88,4.02,4.08,2.48,5.87,4.46,2.3,2.99,2.87,3.21,0,3.71,2.99,2.89,0,0.5,0,4.2,0.48
89,46.99,47.4,37.69,57.24,49.36,23.65,33.11,39.64,31.69,22.21,29.71,34.33,20.65,28.68,21.4,9.91,32.16,26.68
90,131.86,148.85,131.67,183.42,161.49,72.04,98.97,124.12,100.74,58.73,98.32,112.65,62.88,87.33,59.17,29.66,109.45,75.54
91,189.89,196.83,190.19,242.31,220.21,110.38,140.1,193.05,157.5,93.22,159.58,157.51,102.85,135.2,102.29,62.94,157.65,115.41
92,205.57,209.33,207.33,260.18,239.76,118.2,157.48,217.82,176.71,107.55,178.63,167.81,119.88,145.97,123.01,87.44,177.05,125.53
93,284.38,323.15,264.93,368.99,328.31,148.96,192.47,301.01,217.55,102.34,233.14,195.54,119.43,155.41,139.62,102.3,222.89,152.48
94,443.48,488.49,420,560.69,520.13,207.31,294.26,446.84,329.33,155.65,358.92,289.77,175.19,228.87,225.19,167.04,337.13,221.23
95,396.61,445.95,382.71,500.24,454.84,181.28,264.62,365.57,258.47,123.43,283.06,250.42,154.47,200.51,169.49,121.29,271.41,192.83
96,428.22,482.16,414.33,518.1,482.35,196.88,271.38,322.02,232.75,126.42,224.12,217.17,161.32,212.88,132.14,84.98,253.03,177.41
97,504.11,565.74,492.17,610.22,565.76,239.53,335.29,353.78,274.73,152.01,259.1,260.94,198.48,258.84,137.33,109.83,292.3,190.38
98,29.21,28.35,29.7,33.42,35.16,10.92,24.01,30.78,26.63,12.82,18.58,23.56,20.91,26.64,23.12,15.33,37.06,21.32
99,17.57,15.01,15.9,24.47,18.01,1.68,12.14,18.67,12.38,7.77,7.39,17.05,5.76,12.59,7.09,0.45,21.83,12.3
100,41.71,36.57,38.14,51.55,47.45,12.94,29.73,41.84,31.02,24.68,18.15,41.13,14.03,36.34,24.2,18.06,48.14,31.47
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,4.46,8.55,4,6.21,12.12,3.91,4.59,3.83,6.24,0.68,5.08,4.36,3.89,1.39,2.28,0,7.21,0.79
106,2.46,4.93,2.65,4.6,6.03,2.73,3.86,4.32,3.44,0.19,3.87,1.24,3.16,1.74,0.54,0,3.92,0.32
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,25.76,23.95,16.52,32.13,25.76,10.09,17.33,17.56,14.26,8.62,14.88,20.54,9.22,15.89,11.41,3.57,21.12,13.85
109,28.18,36,25.69,39.53,38.92,15.66,20.98,23.16,22.04,15.77,17.33,30.87,13.34,22.18,14.45,6.02,19.6,16.82
110,180.27,195.64,163.67,235.42,206.04,101.14,126.6,165.59,130.8,78.43,120.4,131.35,80.43,134.04,95.96,54.91,143.3,111.65
111,9.15,11.54,6.75,13.7,11.16,4.42,4.88,7.93,6.74,0,10.81,6.1,4.54,1.22,2.91,0,10.91,1.64
112,24.39,27.45,24.7,34.11,28.16,14.93,18.89,26.12,19.67,11.49,20.32,16.68,11.43,18.28,16.32,12.23,19,15.57
113,130.63,145.11,119.95,170.5,151.2,60.65,89.11,160.95,108.82,48.85,122.75,97.89,41.78,69.8,63.56,39.36,112.13,73.65
114,285.67,324.41,272.33,372.26,346.5,130.1,191.39,337.87,239.81,94.58,258.83,187.28,104.4,146.23,145.07,106.3,241.76,151.32
115,329.64,374.77,304.45,428.47,370.69,146.68,213.27,318.77,234.14,96.52,235.82,198.74,99.1,169.78,149.22,100.22,247.24,168.17
116,455.36,507.25,419.31,607.34,533.87,210.23,294.41,353.21,273.68,129.33,239.33,254.46,145.41,237.44,152.58,89.84,283.4,210.97
117,405.14,447.48,380.72,520.66,469.56,181.62,268.15,313.79,231.22,116.07,230.71,211.67,147.39,211.42,133.25,72.77,246.67,184.55
118,5.72,4.61,2.29,3.15,5.04,0.28,1.81,1.78,3.1,0,2.62,4.89,2.9,0.67,1.27,0.05,8.75,0.89
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,6.07,6.33,4.22,10.89,7.61,0.71,2.1,4.95,1.45,3.32,1.56,8.52,0,3.38,1.6,0.35,5.25,4.38
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,3.31,6.8,5.26,7.17,6.63,3.55,4.04,5.59,5.09,0.66,5.07,3.98,5.2,2.57,3.73,1.75,4.94,1.68
130,60.98,57.98,54.03,80.4,69.24,32.15,41.85,54.92,38.85,28.21,39.18,46.57,28.16,47.44,32.23,18.41,51.95,41.06
131,19.03,19.86,18.63,26.49,21.48,9.75,14.39,16.47,13.1,9.91,12.58,15.84,6.5,13.31,9.44,5.8,16.15,13.23
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,7.45,7.01,5.11,8.85,7.35,2.19,4.1,9.75,4.81,2.63,6.99,5.34,0.45,2.29,3.67,1.55,3.05,2.55
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,258.78,303.42,231.72,350.51,294.39,122.84,174.04,248.48,178.77,82.02,188.15,158.31,75.92,152.91,134.54,78.43,195.87,151.46
136,347.21,395.44,329.71,469.72,413.14,156.09,233.81,287.42,209.73,103.59,213.16,210.88,97.38,188.35,128.89,66.58,235.63,176.64
137,387.15,428.02,380.71,504.27,458.57,182.85,265.24,310.72,235.58,121.88,267.41,209,139.75,222.79,164.18,88.46,260.71,197.91
138,341.08,375.19,333.64,458.03,401.84,150.41,236.07,263.47,211.71,102.32,216.46,190.3,126.62,206.3,128.17,57.04,221.54,189.06
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,14.47,9.57,13.43,19.72,14.08,2.85,10.44,18.65,9.8,6.58,7.19,13.33,5.27,9.35,6.41,4.2,14.68,10.04
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,30,26.45,21.26,36.83,32.97,15.33,19.96,21.68,17.96,12.6,16.59,24.48,14.17,24.02,20.52,8.85,28.62,22.65
148,2.7,2.13,0.42,3.13,2.48,0,0.13,0.23,0.18,0,1.17,2.14,0.46,0,0,0,2.91,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,74.89,84.59,76.14,97.2,86.91,39.61,62.93,76.77,63.96,33.72,67.39,56.29,39.26,61.18,49.73,31.48,68.15,53.17
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,285.56,340.88,265.32,399.1,326.86,129.67,203.65,267.47,194.09,86.8,207.09,180.75,87.7,183.02,142.31,77.91,206.17,167.39
157,325.61,380.92,314.65,441.42,376.77,149.87,229.55,278.73,195.17,87.57,213.77,180.89,103.03,188.49,134.69,57.66,214.43,159.16
158,283.64,326.99,274.43,361.61,338.5,129.38,192.88,220.98,174.42,77.95,205.92,148.69,107.98,144.62,108.66,48.04,192.64,138.88
159,274.82,295.64,286.55,389.7,336.87,123.79,204.95,184.57,132.46,125.64,140.27,190.87,65.99,153.74,73.1,22.69,155.73,164.23
160,266.82,288.38,284.7,370.52,336.59,125.61,210.9,173.13,161.84,111.63,181.68,181.67,93.86,160.34,92.01,28.3,167.42,166.01
161,3.14,2.26,3,4.27,3.12,0,2.34,3.39,2.03,1.52,1.55,3.89,1.39,2.9,1.93,0,5.06,2.84
162,2.55,2.76,2.81,3.54,3.05,0,1.92,3.43,1.46,1.11,1.36,3.56,1.47,2.69,1.55,0,4.74,2.32
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,0.55,1.37,1.33,2.77,2.68,0.88,1.66,1.54,2.27,0.38,1.88,1.43,0.52,0.79,1.2,0.49,1.32,0.42
167,3.05,4.35,5.96,6.45,4.27,1.1,3.61,6.62,4.51,1.51,3.47,4.36,1,0.17,1.74,0,4,2.99
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,82.21,70.52,64.08,95.4,82.49,37.38,49.3,61.56,43.34,32.57,34.23,64.21,20.35,51.37,46.4,17.1,72.1,56.9
171,4.33,3.95,0.78,4.16,3.93,0.79,0.49,0.76,2.3,0,2.17,2.02,1.86,0,1.02,0,4.8,0.61
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,3.59,3.53,1.68,4.55,3.11,0.79,1.12,1.68,1.15,0,2.96,2.14,0.19,0,0.31,0,2.47,0
176,118.77,130.77,112.76,157,135.81,70.18,94.13,113.99,94.58,57.38,103.75,92.02,65.63,97.51,68.36,39.03,107.5,85.36
177,92.13,105.15,85.13,130.39,104.5,41.61,64.42,72.89,48.85,22.54,52.38,58.69,25.2,51.01,41.02,14.53,59.91,50.69
178,77.91,91.48,76.37,109.12,90.84,35.25,55.63,68.43,44.68,23.73,48.59,46.29,26.46,50.56,39.3,17.86,56.91,46.91
179,263.67,325.72,272.17,394.34,324.35,123.88,202.03,218.45,155.34,71.43,165.79,173.95,80.37,178.18,114.95,45.93,180.2,156.88
180,304.1,338.07,284.35,423.86,359.98,134.34,233.79,225.74,165.65,83.7,182.1,179.42,92.76,192.91,115.88,20.11,192.79,157.39
181,206.85,241.85,205.05,295.99,268.86,95.15,168.43,150.39,108.67,70.97,129.48,154.24,68.21,110.05,59.42,18.65,128.15,114.6
182,250.21,272.54,252.68,360.84,330.52,112.46,198.29,164.86,128.25,97.04,139.78,175.49,73.35,137.35,79.44,9.52,134.45,140.54
183,308.8,353,324.93,447.46,413.52,159.43,276.23,217.96,188.61,111.03,196.72,208.54,123.28,173.13,111.08,30.06,187.42,195.98
184,342.79,381.65,355.59,483.13,429.08,182.22,301.93,244.5,222.12,117.99,242.98,221.8,155.83,203.57,144.01,54.57,214.91,220.84
185,339.29,375.89,363.52,480.83,396.14,178.84,289.76,242.32,227.12,107.27,253.6,213.56,156.09,197.79,148.75,61.88,216.16,205.91
186,331.37,384.8,367.34,471.91,378.61,182.03,281.37,240.54,248.88,117.08,279.51,221.77,176.68,229.45,179.27,59.83,254.08,224.99
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
