ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,307.49,357.67,315.95,517.67,446.88,219.86,348.51,354.28,279.5,224.66,211.34,282.02,138.59,301.74,241.93,154.49,304.01,191.35
2,351.38,386.41,360.47,515.9,478.66,239.15,361.71,392.94,317.75,246.51,256.75,287.19,167.16,340.45,259.81,182.21,320.21,199.73
3,324.17,351.38,318.28,481.53,425.36,195.53,308.88,334.27,273.07,198.03,218.87,246.25,135.24,295.57,227.81,145.34,283.84,175.2
4,400.25,364.95,318.52,485.71,420.93,228.43,295.94,321.92,295.23,205.64,236.59,282.46,201.76,290.78,198,152.38,307.01,207.68
5,277.34,305.25,280.19,383.54,370.22,171.22,287.94,331.39,259.84,190.76,220.39,234.84,143.18,280.31,214.57,161.8,248.97,145.68
6,313.19,333.18,300.85,434.73,396.09,185.57,288.29,321.16,261.76,188.44,209.38,227.34,132.3,264.51,206.88,122.4,252.97,160.43
7,316.08,316.62,296.95,436.16,392.73,166.93,269.9,283.73,244.08,169.11,191.49,223.24,122.57,239.7,174.24,106.66,239.47,154.65
8,353.57,341.38,323.8,450.41,433.5,186.43,288.6,318.07,266.32,197.32,207.1,260.86,159.51,279.79,187.26,114.01,256.64,171.6
9,344.73,330.82,302.62,449.34,410.52,192.77,290.37,310.24,260.58,174.49,202,246.11,151.93,250.41,192,116.45,250.88,169.81
10,399.05,365.18,340.19,487.93,433.51,227.2,320.64,338.58,298.18,203.39,244.43,273.89,198.27,298.03,219.26,154.5,297.24,202.91
11,437.28,392.9,360.26,514.92,449.31,243.11,337.86,372.3,328.53,228.92,285.48,312.53,228.06,318.94,225.76,174.37,322.77,209.78
12,365.22,333.61,294.05,429.23,377.21,212.38,272.39,291.81,258.31,192.83,219.25,262.66,181.55,259.05,172.28,131.91,275.62,175.87
13,462.79,452.53,399.78,530.76,498.33,275.41,370.34,390.21,361.61,267.64,312.7,341.62,260.77,363.19,249.32,217.12,380.66,238.34
14,228.42,269.05,260.68,348.16,302.52,155.86,224.78,280.89,212.85,160.51,161.24,228.03,105.53,247.07,187.11,140.73,231.59,139.13
15,261.72,288.17,260.33,370.88,333.23,157.73,224.16,291.82,210.78,174.58,166.65,219.91,111.83,244.3,169.83,117.15,229.83,142.53
16,282.81,315.13,265.72,403.72,365.51,174.54,235.93,275.94,222.82,166.17,177.18,216.35,118.35,219.78,172.75,104.09,231.41,142.06
17,235.58,234.96,216.29,332.46,302.15,131.42,192.72,216.43,178.41,123.22,140.76,179.85,97.31,169.31,128.47,75.93,192.34,117.64
18,320.38,294.93,279.97,422.89,393.39,165.79,242.81,263,222.4,164.84,183.73,216.29,133.59,222.22,149.22,92.67,218.73,153.99
19,322.7,291.15,267.36,413.58,372.32,185.52,243.07,270.93,219.33,162.47,172.17,224.64,143.84,214.78,156.67,84.19,231.15,158.42
20,377.25,365.63,311.38,462.94,422.6,226.51,295.84,319.93,297.3,190.98,220.05,256.42,183,279.52,218.25,127.32,278.82,209.31
21,340.69,310.63,280.41,415.62,364.17,202.43,259,284.86,253.03,179.6,205.49,241.31,168.01,250.75,161.18,111.09,256.52,169.89
22,400.86,379.09,336.84,476.3,438.1,248.48,309.3,335.78,299.63,224.17,248.12,298.73,217.83,310.3,211.56,166.5,315.2,204.52
23,494.98,497.93,430.09,557.55,555.86,307.18,399.58,415.64,371.86,282.93,313.73,362.72,298.07,392.48,306.35,235.74,398.36,257.09
24,486.56,497.51,422.76,557.04,546.77,303.18,394.85,410.75,375.96,289.86,321.53,363.61,298.95,383.33,309.5,238.81,387.41,251.91
25,315.17,345.22,350.25,420.23,377.79,191.64,289.67,374.17,301.86,215.68,252.3,288.18,167.8,338.11,274.46,223.9,322.89,207.29
26,282.12,309.83,279.73,375.36,344.67,175.73,244.46,293.33,255.6,169.53,206.37,235.91,132.01,266.81,215.7,158.56,252.43,138.08
27,323.58,338.16,306.26,406.15,378.42,178.06,251.73,335.5,262.01,212.14,190.85,237.98,134.14,258.1,200.41,137.07,244.69,155.6
28,304.79,320.08,281.27,402.31,377.19,178.08,244.94,290.68,229.97,181.15,171.18,224.88,120.36,228.61,181.97,124.56,237.36,152.85
29,272.39,271.54,233.79,370.6,347.44,151.37,208.06,233.98,186.41,151.85,140.9,189.77,106.17,196.81,133.39,78.76,196.94,136.43
30,291.84,272.95,242.11,375.18,348.38,159.29,218.55,223.89,187.51,148.54,155.78,189.05,108.75,193.21,124.07,75.58,199.6,136.39
31,225.64,218.81,191.39,307.3,271.92,136.61,172.04,191.17,141.97,118.23,113.42,155.29,88.79,148.05,102.04,53.19,165.83,107.47
32,385.93,382.27,324.46,451.23,445.62,238.02,306.94,333.4,283.61,202.13,238.63,258.55,194.05,289.66,223.38,147.84,289.68,205.91
33,460.65,443.27,380.41,514.23,508.07,288.24,359.54,393.79,369.19,261.77,319.27,317.35,257.14,355.93,288.94,195.49,361.55,252.78
34,427.31,425.11,363.52,482.08,470.14,270.12,330.41,355.77,325.73,234.37,277.16,314.44,250.43,327.88,262.83,183.09,342.12,223.77
35,525.2,530.06,466.14,579.71,585.84,331.13,417.56,443.43,427,328.28,381.88,392,326.97,443.24,353.19,279.63,419.68,295.43
36,513.63,528.25,449.35,557.93,552.48,321.84,399.71,425.8,417.9,320.79,372.1,387.27,310.08,427.06,334.92,267.07,406.61,281.8
37,451.05,466.46,385.97,508.75,490.87,260.56,366.72,369.68,327.96,260.55,299.28,340.96,263.15,341.41,259.74,215.06,335.06,213.56
38,538.76,590.98,483.08,634.79,595.63,312.75,425.47,484.93,389.84,265.12,392.18,394.64,308.19,439.13,331.41,283.6,428.66,250.41
39,528.8,569.04,463.3,595.2,534.42,275.66,359.94,405.36,325.3,205.27,312.7,327.94,242.66,345.53,256.35,218.29,357.87,223.39
40,179.86,183.17,180.92,245.18,214.28,91.05,152.96,201.44,145.91,106.53,104.01,157.09,87.95,172.63,147.53,89.09,175.69,134.82
41,298.01,311.56,292.3,381.85,363.08,160.26,240.2,316.25,249.79,173.69,202.96,240.27,146.46,297.5,238.48,170.1,270.85,188.98
42,286.38,299.74,288.65,365.52,348.32,167.37,228.6,298.14,250.47,168.55,203.32,236.59,136.91,272.4,224.01,166.79,261.96,174.61
43,220.19,234.67,210.1,289.91,275.51,131.2,172.93,230.97,186.43,123.95,134.41,181.96,95.95,188.03,149.76,101.32,194.19,125.71
44,308.78,330.15,283.96,398.17,389.99,176.8,253.27,298.56,241.6,176.22,183.21,228.32,133.79,249.26,191.46,127.61,242.24,168.06
45,284.99,298.93,239.23,363.51,365.1,169.26,218.66,268.86,219.05,158.5,155.29,205.58,110.11,230.96,172.86,107.35,220.95,158.71
46,244.86,249.75,200.14,324.36,317.41,137.79,178.17,203.83,159.25,136.78,117.45,173.57,81.73,179.51,120.14,69.75,181.42,135.97
47,289.61,291.84,241.88,369.68,352.69,168.66,224.46,232.31,188.28,155.07,150.99,204.85,107,212.43,140.15,85.93,214.8,150.47
48,267.65,253.18,222.36,340.32,311.47,155.72,200.19,226.61,176.52,135.65,138.44,195.75,111.73,181.28,133.74,77.08,200.43,141.38
