ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1,112.51,250.47,98.3,441.92,272.59,79.09,300.14,314.03,472.28,164.85,237.16,283.06,182.42,447.43,375.26,144.47,293.28
2,95.31,303.02,145.05,489.55,262.73,107.06,310.98,280.45,435.5,231.11,286.85,371.56,226.36,471.79,419.97,193.72,311.24
3,99.53,234.28,100.64,419.42,254.09,81.82,274.64,265.37,420.09,170.55,232.18,293.51,198.52,383.35,356.43,134.85,264.92
4,195.49,204.3,139.52,313.22,270.29,167.3,302.87,232.38,539.62,75.57,239.19,258.36,176.29,286.82,266.06,29.75,277.58
5,62.68,271.61,133.43,393.73,214.73,94.16,255.72,215.65,326.21,208.14,233.21,316.69,194.68,381.9,343.78,184.56,245.54
6,84.19,252.33,115.15,412.81,229.45,99.62,277.39,217.32,357.93,178.68,234.58,304.44,211.52,358.87,354.41,137.8,256.84
7,98.86,203.2,101.81,362.24,229.29,92.83,256.39,204.79,359.49,140.64,210.4,270.14,199.65,310.53,307.23,84.33,225.4
8,102.13,177.08,97.86,343.35,238.37,106,247.3,200.41,376.9,122.6,202.57,251.76,195.88,284.32,284.03,60.24,214.15
9,118.99,167.53,100.02,337.25,239.64,114.77,266.65,202.39,416.69,100.26,198.48,256.95,199.96,266.02,275.98,35.71,223.04
10,157.5,185.62,122.59,325.19,249.63,149.89,273.06,213.15,461.65,88.73,213.26,261.68,198.5,275.71,275.41,31.91,248.89
11,191.56,205.92,128.59,316.3,270.09,173.39,287.42,217,512.96,82.63,231.8,266.81,190.22,276.45,266.36,23.26,268.07
12,203.15,201.4,152.07,301.35,266.32,167.8,294.47,210.65,523.16,81.7,241.09,251.89,171.35,262.11,238.8,36.97,281.94
13,290.26,272.38,209.79,360.03,329.67,234.16,376.79,256.75,557.28,60.02,268.05,314.97,202.82,307.97,304.54,60.62,398.66
14,70.51,409.47,210.71,529.12,264.72,162.92,316.89,267.51,390.52,311.69,352.81,428.06,260.95,534.66,455.03,302.75,346.03
15,79.58,302.43,151.63,457.77,230.9,122.17,266.25,231.16,346.9,257.17,293.84,373.38,241.46,432.6,382.25,195.87,266.07
16,71.11,255.49,121.2,413.7,229.87,123.11,254.19,205.77,318.69,195.16,241.52,320.6,229.61,334.83,352.48,136.41,247.27
17,84.83,184.04,98.77,318.01,204.71,99.11,213.43,168.21,269.32,132.38,190.11,246.57,196.09,243.79,263.95,74.49,194.65
18,113.42,184.65,109.06,364.37,240.93,126.74,251.79,189.95,323.56,137.92,212.53,279.07,219.52,277.73,306.32,62.11,220.98
19,117.22,164.49,107.62,327.54,221.81,124.64,237.41,180.92,372.03,106.1,191.9,252.96,205.26,242.83,272.94,26.19,223.3
20,162.35,202.77,126.18,345.49,252.8,161.06,279.9,205.93,458.4,90.78,229.57,282.44,210.67,268.74,292.33,27.93,272.38
21,176.2,195.12,135.49,301.21,265.66,158.63,272.38,204.04,491.03,94.16,237.59,253.69,185.4,251.41,240.65,32.31,258.04
22,280.69,277.5,212.62,381.29,352.26,234.49,373.52,264.37,598.58,99.02,305.62,328.55,223.84,327.22,314.99,67.76,393.59
23,409.59,367.18,288.75,441.86,421.63,319.67,496.82,309.76,674.24,84.34,345.32,394.25,274.19,397.85,385.03,110.99,532.41
24,426.56,380.4,312.85,459.54,443.85,333,506.65,320.98,714.59,87.12,376.39,388.83,282.81,414.41,407.07,121.14,565.06
25,73.64,452.52,242.29,574.33,293.36,172.74,349.39,290.84,423.65,335.19,366.66,472.52,278.92,575.24,504.78,344.48,365.59
26,72.63,378.51,214,503.42,285.74,155.5,307.95,263.29,383.09,294.93,315.54,401.23,269.84,484.67,446.89,293.98,316.29
27,69.12,267.51,133.79,441.72,231.19,131.89,257.22,208.42,299.8,230.12,259.43,343.07,241.88,347.97,358.61,182.2,255.11
28,74.73,231.69,120.65,402.31,241.42,138.69,252.91,193.51,265.44,181.77,242.59,304.4,249.04,290.38,331.6,135.99,241.43
29,86.86,192.15,113.59,369.16,229.24,127.4,231.12,173.75,248.28,161.57,222.33,281.07,231.63,260.05,294.21,97.02,205.86
30,93.18,182.89,106.46,337.31,223.64,126.21,230.37,167.32,262.37,137.23,201.95,257.4,220.96,231.26,269.1,73.26,205.84
31,61.43,129.81,78.85,253.35,175.64,89.79,183.88,128.64,260.9,93.75,168.33,196.88,164.9,175.19,205,30.6,165.77
32,168.25,191.56,133.02,323.07,247.14,166.05,263.97,185.34,428.12,87.36,224.97,279.75,209.23,247.01,277.87,25.54,258.1
33,247.39,258.63,183.65,368.38,302.28,217.31,334.06,236.53,528.24,71.87,262.4,318.8,218.28,281.43,319.58,39.72,340.96
34,351.51,320.76,242.72,416.48,390.31,277.48,424.08,283.39,612.59,83.85,329.25,358.33,256.83,357.88,354.67,101.96,473.47
35,434.19,391.28,322.61,469.79,465.52,333.54,521.15,337.43,700.36,106.25,397.26,399.98,303.73,434.72,426.74,136.77,603.46
36,448,396.73,340.45,470.7,476.52,342.49,530,360.32,716.87,113.25,421.45,390.69,315.21,452.69,433.55,152.06,636.89
37,417.49,375.74,301.4,436.55,425.86,328.8,489.37,305.26,710.55,85.71,359.02,372.77,273.14,393.98,384.47,123.76,546.44
38,415.35,381.09,279.87,431.43,416.54,287.77,475.47,294.81,636.99,49,344.96,364.32,238.41,367.67,344.88,97.3,489.43
39,376.14,345.38,255.55,405.05,353.15,242.87,398.69,248.78,561.11,36.96,298.27,307.01,195.84,296.29,283.21,63.73,400.28
40,49.67,184.43,120.23,315.63,161.5,75.01,169.31,151.27,226.8,173.83,196.18,257.78,185.11,293.93,269.88,104.98,166.38
41,63.08,303.35,188.16,457.6,239.77,122.13,260.62,225.65,336.86,256.3,272.51,374.54,252.48,417.73,399.64,208.18,272.47
42,68.11,312.47,194.03,449.11,254.73,132.22,267.99,225.46,331.51,255.01,270.27,362.2,255.64,407.55,396.62,215.57,274.65
43,68.87,240.82,143.22,367.41,212.71,109.01,217.16,182.02,251.42,204.71,215.37,300.45,226.08,310.85,318.25,157.89,207.71
44,86.34,251.45,140.14,437.02,260.14,152.13,269.73,207.76,260.02,213.16,238.71,329.55,272.07,299.65,351.48,152.27,250.5
45,94.42,227.02,131.71,430.22,267.74,150.42,264.84,200.82,224.72,197.61,248.45,314.74,274.93,265.98,322.67,136.76,224.67
46,78.38,189.23,118.01,382.04,244.8,142,244.88,174.52,199.27,183.37,231.64,286.53,244.41,227.29,278.79,103.42,202.17
47,98.21,205.32,126.3,387.33,250.54,145.17,251.43,191.23,230.7,179.04,227.22,299.13,257.56,254.45,295.06,100.93,210.8
48,100.73,174.42,116.07,319.31,230.95,128.74,212.62,170.34,270.72,131.54,195.48,266.16,215.38,216.9,254.47,54.67,195.01
49,144.62,196.97,133.45,319.53,246.4,159.43,246.64,181.13,392.27,87.27,214.64,263.68,212.7,234.97,268.63,36.43,246.97
50,242.31,252.23,170.67,353.88,294.72,192.67,307.33,212.96,496.52,75.75,251.1,306.22,208.52,270.04,297.22,33.73,321.23
51,166.58,161.19,121.63,219.68,200.87,132.05,197.75,144.63,285.69,41.11,169.43,181.43,128.46,171.78,179.85,53.28,226.44
52,463.54,411.35,338.18,486.65,482.17,353.2,547.87,358.57,726.12,108.9,417.73,423.4,321.71,453.05,451.95,147.88,636.75
53,464.5,413.58,357.65,487.28,485.51,362.96,543.73,372.89,744.92,126.82,423.27,397.77,324.22,465.7,447.08,161.52,659.42
54,381.49,341.75,273.13,404.96,381.17,283.17,430.09,286.01,558.86,72.76,321.82,337.39,243.99,338.31,339.84,115.53,491.29
55,438.11,406.24,292.36,444.78,427.04,297.31,472.77,295.35,669.38,41.29,364.18,367.65,223.24,354.28,318.71,94.13,486.82
56,409.05,384.05,269.62,427.65,358.2,232.36,392.81,250.27,528.33,34.73,304.44,312.66,173,299.73,254.15,62.37,386.05
57,388.36,353.38,241.92,394.65,316.14,202.52,350.2,222.66,465.64,32.9,272.86,296.88,155.85,269.58,243.2,46.38,329.5
58,29.52,100.83,116.22,250.26,122.64,43.39,137.5,116.36,168.66,116.29,140.68,207.86,152.38,217.03,206.59,47.56,99.52
59,41.71,114.84,86.71,208.83,132.37,53.56,124.43,105.19,137.7,100.59,120.15,165.6,137.06,178.6,182.29,57.97,111.56
60,63.26,181.65,123.05,300.01,186.67,85.75,173.5,149.26,189.16,146.02,155.26,230.95,185.87,231.85,259.28,95.32,175.91
61,65.38,188.43,114.82,302.27,183.39,97.01,183.07,147.73,190.29,151.69,157.86,236.52,198.55,224.03,270.49,113.21,183.11
62,56.14,137.1,83.03,214.28,139.4,76.49,132.51,104.19,127.68,122.16,125.61,177.14,163.2,158.01,193.6,74.18,126.28
63,69.9,163.59,97.74,284.06,182.52,107.59,175.68,130.33,143.73,148.12,156.05,212.55,203.12,170.78,222.46,87.37,155.83
64,42.18,99.52,57.34,183.92,123.54,71.14,118.99,86.94,88.1,85.79,107.37,123.87,124.67,107.76,133.1,55.95,97.21
65,12.79,24.75,13.86,37.05,27.94,15.35,25.38,20.71,20.49,20.85,26.61,22.33,29.7,28.29,30.94,15.62,25.04
66,57.22,109.41,75.99,227.14,155.21,84.48,143.97,117.52,111.06,124.95,142.67,189.91,158.14,138.13,169.84,47.44,112.83
67,33.37,53.74,34.25,96.82,75.08,39.53,66.75,48.08,76.2,42.61,63.91,77.82,67.39,64.9,79.89,15.19,57.51
68,26.94,30.68,19.54,48.16,35.58,22.59,33.21,27.49,52.06,15.68,29.84,38.02,32.64,31.13,38.66,9.33,37.53
69,10.44,15.91,8.97,20.81,17.37,10.34,15.48,13.91,22.76,2.43,15.58,14.31,11.26,12.08,17.31,3.36,13.98
70,86.17,79.09,59.78,107.73,97.55,65.3,100.51,69.71,139.84,21.81,83.95,91.88,61.79,82.2,84.94,27.12,113.25
71,318.96,285.69,211.23,368.81,353.95,237.62,371.14,255.33,521.64,61.79,311.42,309.26,214.2,286.63,293.2,93.71,419.03
72,405.34,367.89,270.13,430.74,430.32,310.07,480.88,305.58,675.58,69.09,375.59,369.08,247.91,375.58,345.06,112.75,528.46
73,379.7,342.74,226.83,395.02,376.14,251.55,411.11,275.39,532.38,30.8,325.64,330.64,184.63,292.11,272.24,93.12,457.11
74,413.58,371.52,220.3,407.47,391.1,240.68,413.36,269.27,533.04,23.21,346.97,312.19,141.02,279.05,233.67,73.97,419.71
75,406.92,369.18,229.66,396.51,347.67,218.88,366.64,235.58,437.38,25.31,298.76,281.11,115.01,256.59,199.52,50,346.16
76,408.54,360.83,227.07,396.96,327.69,207.67,352.28,222.5,424.17,27.11,289.6,282.46,124.06,261.72,210.23,41.2,312.59
77,353.41,318.84,204.25,347.51,276.9,198.2,327.56,195.29,411.6,25.69,264.16,268.56,125.68,226.47,197.17,22.62,275.79
78,29.23,76.91,86.35,158.74,97.11,38.97,94.22,82.28,101.6,63.89,82.16,122.07,105.2,120.74,145.37,21.67,73.26
79,25.3,54.8,47.67,103.88,70.21,26.79,59.82,53.49,66.21,42.93,53.59,81.84,70.78,72.28,95.45,20.85,58.15
