Date,1,2,3,4,5,6,7,8
2000,1.595,212.018,65.997,11.395,125.089,1.332,12.847,0.274
2001,44.717,215.089,57.299,11.088,123.773,9.736,50.998,7.633
2002,29.131,181.419,62.421,11.864,138.191,22.981,54.541,49.218
2003,40.0,285.015,105.452,18.152,190.907,21.236,57.75,67.549
2004,19.812,264.356,103.896,18.872,196.026,6.024,36.502,26.188
2005,20.217,97.801,46.691,2.207,55.082,4.563,29.679,19.017
2006,8.95,154.914,121.411,10.393,133.44,10.874,41.546,33.595
2007,29.414,176.254,61.378,9.538,94.571,16.627,53.909,33.242
2008,13.922,140.386,43.981,3.451,68.068,6.224,34.984,21.55
2009,34.604,89.009,51.808,9.023,56.138,27.059,71.119,17.864
2010,28.109,105.404,66.958,3.472,82.049,4.914,71.126,5.538
2011,40.048,146.737,84.019,15.859,114.126,26.389,77.877,23.662
2012,27.286,83.609,46.997,2.078,43.864,1.713,42.333,8.252
2013,69.54,141.241,55.286,10.52,95.759,14.471,101.099,14.738
2014,68.252,82.995,61.839,4.15,41.3,10.864,100.283,12.146
2015,7.681,36.948,11.11,0.509,10.369,1.637,14.828,0.195
2016,41.034,158.842,62.524,11.271,69.372,19.256,50.502,12.082
2017,58.982,96.353,96.703,12.393,97.99,17.574,94.177,8.852
2018,88.62,202.216,131.69,23.599,138.389,54.273,117.344,39.921
2019,7.537,127.757,107.603,16.807,120.803,11.147,45.217,0.394
2020,8.747,80.072,44.015,2.72,56.588,2.35,11.287,3.453
2021,123.764,217.284,160.109,29.334,153.035,89.847,143.072,87.883
