Date,1,2,3,4,5,6,7,8
2000,1.209,265.001,39.115,11.674,115.19,2.702,0.764,0.448
2001,48.523,271.596,35.375,11.687,127.686,11.852,21.876,4.221
2002,25.578,239.576,31.146,10.74,127.833,20.364,20.005,18.635
2003,41.674,328.029,41.251,13.266,157.554,23.649,27.025,14.778
2004,16.633,303.268,47.088,15.378,156.982,7.786,13.853,7.631
2005,22.833,148.458,24.342,3.358,67.35,8.279,27.137,14.698
2006,14.396,204.864,55.134,8.34,115.245,14.559,16.281,13.934
2007,31.719,235.708,28.57,9.559,91.238,20.191,36.778,20.204
2008,22.361,195.158,15.44,3.919,65.189,11.907,10.824,12.709
2009,52.969,135.737,14.418,9.102,51.559,31.414,42.472,25.916
2010,32.77,164.569,7.706,3.392,72.057,4.17,26.764,27.428
2011,46.067,188.985,43.117,16.228,99.465,30.407,53.883,39.608
2012,22.151,127.441,9.361,3.292,47.626,2.155,18.035,10.789
2013,77.061,198.097,13.259,12.273,81.593,17.428,72.092,15.9
2014,70.249,150.444,17.565,6.512,45.963,13.501,68.004,18.175
2015,10.779,106.17,1.255,1.178,17.0,3.724,8.048,2.256
2016,38.099,205.25,17.746,11.48,77.008,23.136,29.058,19.196
2017,69.686,136.563,45.575,14.335,84.906,28.416,66.385,20.155
