Date,1,2,3,4,5,6,7,8
2000,1.854,250.286,75.021,12.177,161.924,1.267,8.318,0.062
2001,46.752,266.824,86.255,12.2,170.232,7.215,39.027,0.867
2002,18.624,227.279,74.198,11.199,172.137,21.14,43.143,23.469
2003,40.079,328.901,109.227,15.941,235.983,22.053,50.07,15.158
2004,18.247,298.634,113.154,17.052,230.567,4.562,41.766,5.751
2005,22.048,122.456,51.441,2.296,81.218,4.672,33.766,9.8
2006,13.568,196.545,123.804,9.415,162.531,11.383,38.318,11.662
2007,34.278,226.171,69.256,8.793,118.558,16.891,54.742,15.16
2008,18.616,178.943,51.046,3.222,95.962,6.941,29.586,4.691
2009,40.893,114.883,45.9,8.373,67.125,27.46,64.068,20.186
2010,30.705,145.927,59.773,4.381,103.386,4.959,56.824,6.862
2011,40.382,182.643,82.828,16.397,129.65,24.859,74.275,21.019
2012,20.907,106.353,38.672,1.772,60.074,1.182,34.906,6.552
2013,68.232,173.163,56.12,11.256,110.702,12.828,98.52,13.769
2014,76.305,113.9,61.842,4.415,61.041,10.617,115.175,11.685
2015,8.171,69.786,14.607,0.482,14.699,1.624,21.239,0.183
2016,42.528,201.158,69.384,12.309,96.632,18.222,58.499,11.572
2017,64.809,125.59,106.391,13.521,121.175,19.901,100.867,9.317
