Date,1,2,3,4,5,6,7,8
2000,2.985,154.357,19.989,8.244,50.505,2.85,3.373,0.111
2001,20.864,203.405,11.17,5.69,51.53,8.869,4.391,5.836
2002,24.831,128.241,6.251,8.074,50.205,21.381,30.121,12.463
2003,43.713,288.357,18.262,9.35,75.953,14.691,37.58,5.653
2004,14.499,215.562,15.21,8.566,36.797,16.127,15.418,4.189
2005,24.003,127.72,13.542,5.06,43.636,13.511,30.531,21.16
2006,15.516,233.519,39.895,10.15,125.18,19.17,36.761,8.245
2007,42.164,176.965,18.318,11.042,41.618,17.921,39.905,19.78
2008,46.937,312.299,10.027,8.521,67.765,32.557,26.336,18.831
2009,85.46,91.264,15.278,11.802,17.503,60.428,48.046,61.453
2010,59.652,199.662,43.88,17.71,117.871,38.575,18.953,50.744
2011,32.554,227.373,36.426,17.951,95.673,34.737,37.739,33.352
2012,26.682,152.418,8.622,13.285,56.586,23.687,54.773,16.654
2013,86.855,234.604,7.608,7.885,43.161,26.686,59.362,23.458
2014,64.617,229.062,28.179,19.63,52.629,30.079,76.925,27.299
2015,53.712,75.265,18.635,6.55,3.408,16.626,34.364,17.683
2016,10.175,232.631,4.186,3.036,52.492,1.942,0.872,3.183
